28-10 18:47:27 22.375 28-000006206029
28-10 18:47:29 22.375 28-000006206029
28-10 18:47:31 22.375 28-000006206029
28-10 18:47:32 22.375 28-000006206029
28-10 18:47:34 22.375 28-000006206029
28-10 18:47:36 22.375 28-000006206029
28-10 18:47:38 22.562 28-000006206029
28-10 18:47:40 24.500 28-000006206029
28-10 18:47:42 25.750 28-000006206029
28-10 18:47:43 26.562 28-000006206029
28-10 18:47:46 27.312 28-000006206029
28-10 18:47:48 27.750 28-000006206029
28-10 18:47:50 28.062 28-000006206029
28-10 18:47:52 27.687 28-000006206029
28-10 18:47:54 27.062 28-000006206029
28-10 18:47:55 26.562 28-000006206029
28-10 18:47:57 26.125 28-000006206029
28-10 18:47:59 25.812 28-000006206029
28-10 18:48:01 25.500 28-000006206029
28-10 18:48:03 25.187 28-000006206029
28-10 18:48:04 24.937 28-000006206029
28-10 18:48:06 24.750 28-000006206029
28-10 18:48:08 24.500 28-000006206029
28-10 18:48:10 24.375 28-000006206029
28-10 18:48:12 24.187 28-000006206029
28-10 18:48:14 24.062 28-000006206029
28-10 18:48:16 23.937 28-000006206029
28-10 18:48:17 23.812 28-000006206029
28-10 18:48:19 23.687 28-000006206029
28-10 18:48:21 23.625 28-000006206029
28-10 18:48:23 23.562 28-000006206029
28-10 18:48:25 23.437 28-000006206029
28-10 18:48:27 23.375 28-000006206029
28-10 18:48:28 23.312 28-000006206029
28-10 18:48:30 23.250 28-000006206029
28-10 18:48:32 23.187 28-000006206029
28-10 18:48:34 23.062 28-000006206029
28-10 18:48:36 23.062 28-000006206029
28-10 18:48:38 23.000 28-000006206029
28-10 18:48:40 22.937 28-000006206029
28-10 18:48:41 22.875 28-000006206029
28-10 18:48:43 22.812 28-000006206029
28-10 18:48:45 22.812 28-000006206029
28-10 18:48:47 22.750 28-000006206029
28-10 18:48:49 22.750 28-000006206029
28-10 18:48:51 22.750 28-000006206029
28-10 18:48:52 22.687 28-000006206029
28-10 18:48:54 22.687 28-000006206029
28-10 18:48:56 22.625 28-000006206029
28-10 18:48:58 22.625 28-000006206029
28-10 18:49:00 22.562 28-000006206029
28-10 18:49:02 22.562 28-000006206029
28-10 18:49:03 22.562 28-000006206029
28-10 18:49:05 22.562 28-000006206029
28-10 18:49:07 22.562 28-000006206029
28-10 18:49:09 22.500 28-000006206029
28-10 18:49:11 22.500 28-000006206029
28-10 18:49:13 22.500 28-000006206029
28-10 18:49:15 22.437 28-000006206029
28-10 18:49:16 22.437 28-000006206029
28-10 18:49:18 22.437 28-000006206029
28-10 18:49:20 22.437 28-000006206029
28-10 18:49:22 22.375 28-000006206029
28-10 18:49:24 22.437 28-000006206029
28-10 18:49:26 22.375 28-000006206029
28-10 18:49:27 22.375 28-000006206029
28-10 18:49:29 22.375 28-000006206029
28-10 18:49:31 22.375 28-000006206029
28-10 18:49:33 22.375 28-000006206029
28-10 18:49:35 22.375 28-000006206029
28-10 18:49:37 22.375 28-000006206029
28-10 18:49:39 22.375 28-000006206029
28-10 18:49:40 22.312 28-000006206029
28-10 18:49:42 22.312 28-000006206029
28-10 18:49:44 22.312 28-000006206029
28-10 18:49:46 22.312 28-000006206029
28-10 18:49:48 22.312 28-000006206029
28-10 18:49:50 22.312 28-000006206029
28-10 18:49:52 22.562 28-000006206029
28-10 18:49:54 24.937 28-000006206029
28-10 18:49:56 26.375 28-000006206029
28-10 18:49:58 27.437 28-000006206029
28-10 18:50:00 28.187 28-000006206029
28-10 18:50:02 28.687 28-000006206029
28-10 18:50:03 29.125 28-000006206029
28-10 18:50:05 29.125 28-000006206029
28-10 18:50:07 28.250 28-000006206029
28-10 18:50:10 27.312 28-000006206029
